                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1502,                  2.709,                 1.5389,                0.49977,                0.51722,                 0.4584,                0.21754,                 1.6363,                 3.4509,                 2.0231,              0.0033289,              0.0033289,              0.0033289
                      2,                   1.16,                 1.8843,                 1.5246,                0.39207,                0.65591,                0.49977,                0.23515,                 1.6713,                 2.9254,                 2.0998,              0.0065962,              0.0065962,              0.0065962
                      3,                 1.2497,                 1.8029,                 1.5991,                0.35767,                0.29961,                0.13969,                0.05659,                 2.1708,                   3.54,                 2.8162,              0.0097976,              0.0097976,              0.0097976
                      4,                 1.2882,                 1.6934,                 1.6422,                0.50338,                0.46617,                0.46695,                0.21068,                 1.8148,                 2.1355,                 2.2695,               0.009703,               0.009703,               0.009703
                      5,                 1.2442,                 1.5191,                 1.6046,                0.50586,                0.58283,                0.52425,                0.25871,                 1.7841,                 2.0205,                  2.233,               0.009703,               0.009703,               0.009703
                      6,                 1.2105,                 1.4113,                 1.5718,                0.62835,                0.53369,                0.54148,                0.26139,                 1.8235,                 2.0711,                 2.2675,               0.009604,               0.009604,               0.009604
                      7,                 1.1893,                 1.3381,                 1.5529,                0.56478,                0.56769,                0.53491,                0.28285,                 1.7005,                 1.7609,                 2.1177,               0.009505,               0.009505,               0.009505
                      8,                 1.1514,                 1.2609,                 1.5229,                0.53819,                0.59056,                0.54451,                0.27543,                 1.7269,                 1.7216,                 2.1517,               0.009406,               0.009406,               0.009406
                      9,                 1.1285,                 1.2149,                 1.5034,                0.61753,                0.65172,                0.60128,                0.31601,                 1.6689,                 1.6512,                 2.0838,               0.009307,               0.009307,               0.009307
                     10,                 1.1208,                 1.1854,                  1.493,                0.66818,                0.68146,                0.66833,                0.35224,                 1.6204,                 1.5402,                 2.0497,               0.009208,               0.009208,               0.009208
                     11,                 1.1073,                 1.1421,                 1.4759,                0.66924,                0.55279,                0.59969,                0.32052,                 1.6313,                 1.5805,                 2.1343,               0.009109,               0.009109,               0.009109
                     12,                 1.0931,                  1.119,                 1.4667,                0.73852,                0.62641,                0.70741,                0.38207,                 1.6532,                 1.5557,                  2.037,                0.00901,                0.00901,                0.00901
                     13,                 1.0761,                 1.0799,                 1.4554,                0.64756,                0.68349,                0.65953,                0.35987,                 1.5931,                 1.5779,                 2.0087,               0.008911,               0.008911,               0.008911
